InstanceID,N,K,B,OptimalMakespan,LS_MaxGroupSum,LS_Time(us),LPT_MaxGroupSum,LPT_Time(us),MULTIFIT_MaxGroupSum,MULTIFIT_Time(us)
206,17,4,8,15,16,12,15,14,15,0
207,16,4,8,14,15,11,14,13,14,0
208,9,4,8,13,20,7,14,8,14,0
209,12,4,8,17,18,9,17,10,17,0
210,11,4,8,10,15,8,10,10,10,0
211,34,4,16,1574,1836,23,1574,28,1574,0
212,13,4,16,11,13,10,11,11,11,0
213,33,4,16,1595,1734,22,1596,28,1596,0
214,37,4,16,1447,1628,24,1447,46,1447,0
215,23,4,16,350,387,16,350,19,350,0
216,30,4,16,778,1027,19,778,24,778,0
217,30,4,16,1135,1351,20,1135,24,1135,0
218,26,4,16,791,1029,18,791,22,791,0
219,37,4,16,982,1245,24,983,30,983,0
220,23,4,16,575,747,16,575,19,575,0
221,28,4,16,978,1092,20,978,22,978,0
222,25,4,16,476,581,17,479,20,479,0
223,26,4,16,287,370,19,288,22,288,0
224,24,4,16,373,381,17,373,20,373,0
225,15,4,16,28,35,11,28,13,28,0
226,28,4,16,950,1405,20,950,23,950,0
227,23,4,16,395,578,16,397,20,397,0
228,21,4,16,1497,1690,15,1500,19,1500,0
229,29,4,16,465,559,20,465,24,465,0
230,35,4,16,1176,1446,36,1176,31,1176,0
231,29,4,16,669,1075,41,669,24,669,0
232,30,4,16,284,387,20,284,23,284,0
233,26,4,16,247,288,19,247,21,247,0
234,27,4,16,243,290,19,243,22,243,0
235,39,4,16,1380,1678,25,1391,30,1391,0
236,24,4,16,830,934,18,830,20,830,0
237,29,4,16,1605,2036,19,1605,23,1605,0
238,33,4,16,1365,1602,23,1366,26,1366,0
239,26,4,16,190,212,18,190,21,190,0
240,31,4,16,1157,1531,21,1157,24,1157,0
241,35,4,20,25615,35645,23,25615,28,25615,0
242,38,4,20,19688,26320,25,19688,33,19688,0
243,36,4,20,19107,21434,24,20139,27,20139,0
244,32,4,20,7795,10373,21,7795,26,7795,0
245,34,4,20,14716,19017,22,14719,27,14719,0
246,41,4,20,25701,32058,26,25701,32,25701,0
247,32,4,20,9277,9841,23,9283,25,9283,0
248,39,4,20,22490,29423,26,22490,31,22490,0
249,37,4,20,3487,4102,25,3488,30,3488,0
250,35,4,20,6948,7093,23,6948,44,6948,0
251,31,4,20,2297,3276,20,2297,25,2297,0
252,29,4,20,5769,6597,20,5778,24,5778,0
253,36,4,20,7327,7518,24,7327,29,7327,0
254,41,4,20,25944,37005,27,26116,33,26116,0
255,40,4,20,6940,9769,25,6941,31,6941,0
256,36,4,20,23588,29115,23,23589,29,23589,0
257,35,4,20,13765,16698,23,13788,28,13788,0
258,42,4,20,25105,26545,27,25105,33,25105,0
259,41,4,20,18330,19734,25,18330,32,18330,0
260,44,4,20,9397,10372,28,9672,34,9672,0
261,43,4,20,13246,16112,27,13246,33,13246,0
262,44,4,20,8144,12689,27,8144,34,8144,0
263,44,4,20,18835,27477,28,18835,34,18835,0
264,42,4,20,6036,8180,28,6036,32,6036,0
265,33,4,20,8342,12680,21,8343,26,8343,0
266,33,4,20,5501,5879,22,5501,26,5501,0
267,44,4,20,8255,11896,28,8255,45,8255,0
268,40,4,20,19370,25770,26,19757,31,19757,0
