InstanceID,N,K,B,OptimalMakespan,LS_MaxGroupSum,LS_Time(us),LPT_MaxGroupSum,LPT_Time(us),MULTIFIT_MaxGroupSum,MULTIFIT_Time(us)
602,36,4,20,8507,9963,59,8519,30,8573,157
603,40,4,20,21324,27895,27,21325,31,21490,170
604,54,4,20,23445,28955,33,23445,41,23628,214
605,37,4,20,5357,5849,24,5357,29,5398,157
606,53,4,20,9021,12086,51,9021,40,9091,205
607,41,4,20,3300,3833,26,3301,32,3325,169
608,37,4,20,3468,4130,25,3468,30,3495,161
609,41,4,20,20621,29406,27,20621,32,20782,169
610,43,4,20,14849,24420,55,14856,33,14965,177
611,43,4,20,15355,20808,28,15373,34,15474,180
612,37,4,20,22047,25686,26,22047,29,22219,177
613,29,4,20,2922,4277,21,2922,24,2944,128
614,33,4,20,21831,23872,20,21945,25,22001,153
615,35,4,20,21944,26166,23,22029,28,22115,221
616,33,4,20,24704,27259,22,24905,27,25476,144
617,20,4,20,3672,4778,15,3727,17,3700,99
618,38,4,20,8650,11802,25,8652,29,8717,159
619,30,4,20,18249,21522,20,18250,38,18391,128
620,39,4,20,23231,27738,25,23231,31,23412,158
621,27,4,20,923,1215,19,923,22,930,117
622,47,4,20,20134,27004,30,20134,35,20291,184
623,37,4,20,688,944,24,688,29,693,151
624,41,4,20,20404,22835,59,20404,32,20563,168
625,37,4,20,21476,24712,24,21476,29,21643,156
626,34,4,20,10083,10265,23,10083,27,10161,137
627,36,4,20,6794,10772,23,6794,29,6847,151
628,49,4,20,8324,9652,30,8324,36,8389,223
629,32,4,20,2228,2796,22,2229,26,2245,142
630,39,4,20,2105,2538,26,2105,30,2121,165
631,29,8,8,30,47,27,30,28,30,156
632,30,8,8,26,33,24,26,28,26,189
633,32,8,8,30,38,26,30,30,30,170
634,26,8,8,22,36,80,22,26,22,145
635,37,8,8,21,29,28,21,34,21,192
636,31,8,8,24,37,25,24,30,24,187
637,33,8,8,30,41,26,30,31,30,173
638,25,8,8,20,28,21,20,24,20,143
639,37,8,8,25,36,30,25,33,25,190
640,32,8,8,29,42,26,29,30,29,189
641,34,8,8,27,34,27,27,31,27,208
642,29,8,8,24,30,25,24,93,24,3251
643,32,8,8,25,38,31,25,31,25,354
644,32,8,8,23,35,57,23,30,23,166
645,29,8,8,29,43,24,29,27,29,311
646,29,8,8,20,30,51,20,31,20,494
647,26,8,8,27,41,122,28,73,27,274
648,31,8,8,25,39,244,25,95,25,504
649,31,8,8,28,43,27,28,72,28,423
650,29,8,8,25,29,32,25,200,25,415
651,35,8,8,21,27,82,21,331,21,493
652,32,8,8,30,42,29,30,32,30,267
653,22,8,8,20,25,23,22,24,20,134
654,32,8,8,29,31,26,29,30,29,174
655,29,8,8,25,31,24,25,26,25,160
656,38,8,8,20,28,29,20,34,20,207
657,29,8,8,20,31,24,20,28,20,159
658,28,8,8,25,37,34,25,26,25,160
659,24,8,8,24,33,21,25,23,24,140
660,25,8,8,28,42,21,28,25,28,143
661,60,8,16,724,1076,55,724,54,729,278
662,53,8,16,790,1209,41,790,47,796,259
663,50,8,16,482,607,39,483,45,485,258
664,64,8,16,576,683,51,576,55,580,292
665,56,8,16,510,594,44,510,48,513,262
666,50,8,16,595,943,38,595,44,599,258
667,49,8,16,454,563,37,455,45,457,314
668,65,8,16,617,893,49,617,56,621,322
669,49,8,16,147,188,38,148,44,148,235
670,64,8,16,406,492,48,406,55,409,292
671,65,8,16,466,737,49,466,56,469,307
672,50,8,16,750,951,39,755,45,755,252
673,66,8,16,788,1077,49,788,57,794,302
674,60,8,16,433,493,59,433,53,436,277
675,34,8,16,136,172,29,136,32,137,177
676,58,8,16,274,363,42,274,50,276,261
677,61,8,16,734,986,71,734,52,739,342
678,55,8,16,689,832,42,689,47,694,256
679,43,8,16,494,709,35,494,41,497,1697
680,50,8,16,365,580,44,365,46,367,456
681,44,8,16,254,373,57,254,143,255,322
682,50,8,16,193,271,124,193,77,194,577
683,59,8,16,655,1086,90,656,54,660,613
684,61,8,16,526,848,154,526,146,530,546
685,60,8,16,611,930,101,611,73,615,287
686,55,8,16,372,573,40,372,44,374,389
687,63,8,16,397,596,299,397,148,400,2621
688,45,8,16,413,512,39,413,44,416,224
689,53,8,16,758,1193,40,758,46,763,246
690,43,8,16,282,405,35,282,38,284,258
691,86,8,20,12126,14993,63,12126,73,12220,393
692,67,8,20,2097,3096,50,2098,58,2113,307
693,64,8,20,1373,1944,48,1373,55,1383,346
694,86,8,20,13089,18416,61,13089,72,13191,393
695,81,8,20,6412,7971,60,6412,68,6462,352
696,91,8,20,10356,14269,66,10356,77,10436,451
697,68,8,20,1277,1998,51,1277,61,1286,299
698,69,8,20,12302,16113,50,12303,60,12398,351
699,75,8,20,10452,16770,55,10458,64,10533,335
700,69,8,20,9406,11942,50,9515,59,9479,346
701,54,8,20,1332,2131,41,1332,47,1342,309
702,96,8,20,6529,9720,69,6529,81,6580,438
703,64,8,20,9400,11986,51,9401,57,9473,298
704,47,8,20,1738,2457,37,1739,42,1751,1117
705,46,8,20,2149,3107,687,2149,48,2165,388
706,56,8,20,2141,3029,420,2144,491,2157,565
707,75,8,20,4431,5654,158,4431,68,4465,380
708,64,8,20,1465,1908,77,1465,152,1476,577
709,81,8,20,13000,18746,60,13000,68,13101,3565
710,80,8,20,11806,18856,63,11806,90,11898,535
711,84,8,20,9093,12474,85,9093,73,9164,390
712,72,8,20,12467,19163,73,12467,62,12564,346
713,63,8,20,394,470,46,394,54,397,304
714,95,8,20,9389,12080,68,9389,99,9462,443
715,84,8,20,7085,9283,61,7085,73,7140,411
716,72,8,20,7356,9292,53,7357,83,7413,340
717,60,8,20,1069,1768,45,1069,53,1077,320
718,80,8,20,9691,15133,75,9691,68,9766,418
719,75,8,20,12436,17180,57,12436,214,12533,360
720,70,8,20,11863,15092,52,11878,61,11955,400
721,14,2,8,39,39,11,39,10,39,58
722,10,2,8,36,43,7,36,7,36,46
723,5,2,8,30,30,4,30,4,30,27
724,9,2,8,36,36,5,36,6,36,147
725,9,2,8,34,45,7,34,6,34,45
726,6,2,8,34,38,4,34,4,34,32
727,5,2,8,37,46,4,37,4,37,66
728,4,2,8,38,39,3,38,3,38,24
729,5,2,8,30,31,4,30,4,30,28
730,7,2,8,31,32,5,32,5,31,34
731,6,2,8,31,35,4,31,4,31,31
